URL,Days_On_Trulia,Is_New
https://www.trulia.com/p/il/chicago/188-w-randolph-street-tier-tier-tier-10-chicago-il-60601--2431566591,NA,1
https://www.trulia.com/p/il/chicago/340-e-randolph-st-706-chicago-il-60601--2103763353,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60601--2431527348,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60601--2426011642,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60601--2431564916,9,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60601--2431452625,NA,0
https://www.trulia.com/p/il/chicago/111-w-wacker-drive-tier-tier-1-chicago-il-60601--2431575318,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60601--2405341768,5,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60601--2360178309,4,0
https://www.trulia.com/p/il/chicago/400-e-randolph-st-2430-chicago-il-60601--2103766242/rent,4,0
https://www.trulia.com/p/il/chicago/222-n-columbus-dr-2802-chicago-il-60601--2103761844,2,1
https://www.trulia.com/p/il/chicago/111-w-wacker-drive-tier-3-tier-3-6-08-chicago-il-60601--2431574621,2,1
https://www.trulia.com/p/il/chicago/200-n-dearborn-st-3707-chicago-il-60601--2103760841,3,0
https://www.trulia.com/p/il/chicago/111-w-wacker-drive-tier-4-tier-4-5-07-chicago-il-60601--2431573526,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60601--2358998250,4,0
https://www.trulia.com/p/il/chicago/400-e-randolph-st-2711-chicago-il-60601--2103766313,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60601--2362561940,2,1
https://www.trulia.com/p/il/chicago/450-e-waterside-dr-403-chicago-il-60601--2103768095,4,0
https://www.trulia.com/p/il/chicago/222-n-columbus-dr-911-chicago-il-60601--2103762133,7,1
https://www.trulia.com/p/il/chicago/188-e-randolph-dr-317-chicago-il-60601--2415198412,3,0
https://www.trulia.com/p/il/chicago/188-w-randolph-street-tier-tier-7-chicago-il-60601--2431567018,2,1
https://www.trulia.com/p/il/chicago/222-n-columbus-dr-412-chicago-il-60601--2103762006,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60601--2431527306,3,0
https://www.trulia.com/p/il/chicago/28-w-randolph-dr-2020-chicago-il-60601--2392246897,NA,0
https://www.trulia.com/p/il/chicago/5-n-wabash-ave-1104mx-chicago-il-60602--2431559895,NA,0
https://www.trulia.com/p/il/chicago/60-e-monroe-st-2008-chicago-il-60603--2103772847,NA,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60603--2431538162,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60604--2431564521,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431363310,5,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431363172,5,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2402024228,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2103776280,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431402142,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2361639800,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2103783959,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2171781006,3,0
https://www.trulia.com/p/il/chicago/1515-s-prairie-ave-411-chicago-il-60605--2103786574,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431558073,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2103788265,NA,0
https://www.trulia.com/p/il/chicago/1464-s-michigan-ave-s0v-chicago-il-60605--2431362312,5,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2365862641,NA,0
https://www.trulia.com/p/il/chicago/603-s-state-st-chicago-il-60605--2195322019,2,1
https://www.trulia.com/p/il/chicago/1530-s-state-st-1122-chicago-il-60605--2431520877,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431401481,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431558074,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431558072,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431532742,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--1075190143,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2414812025,5,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431455666,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431560824,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431558070,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2353988867,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2279398456,NA,0
https://www.trulia.com/p/il/chicago/5-e-14th-pl-1003-chicago-il-60605--2103791051,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431570672,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431400876,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431558143,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431558080,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431398108,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431565697,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--1003140702,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431363067,5,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2103793187,5,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431399452,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2393133394,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2362511433,5,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2395595052,5,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2103782988,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2175158955,5,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431558071,2,1
https://www.trulia.com/p/il/chicago/819-s-state-st-2704-chicago-il-60605--2431521373,3,0
https://www.trulia.com/p/il/chicago/40-e-9th-st-712-chicago-il-60605--2103789552,2,1
https://www.trulia.com/p/il/chicago/1235-s-prairie-ave-1407-chicago-il-60605--2103779586,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2312127396,2,1
https://www.trulia.com/p/il/chicago/601-s-clark-st-chicago-il-60605--2103791559,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431391822,4,0
https://www.trulia.com/p/il/chicago/1305-s-michigan-ave-2002-chicago-il-60605--2103782751,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2103783516,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2174085091,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431552686,2,1
https://www.trulia.com/p/il/chicago/917-s-clark-st-1-chicago-il-60605--2431378034,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2103783011,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431402754,4,0
https://www.trulia.com/p/il/chicago/1211-s-prairie-ave-6100-chicago-il-60605--2410909755,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2103792436,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2359944032,5,0
https://www.trulia.com/p/il/chicago/547-s-clark-st-113-chicago-il-60605--2362489620/rent,NA,0
https://www.trulia.com/c/il/chicago/190-n-wells-street-190-n-wells-st-chicago-il-60606--2103797244,2,1
https://www.trulia.com/p/il/chicago/208-w-washington-st-1404-chicago-il-60606--2103797671,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60606--2431577368,2,1
https://www.trulia.com/p/il/chicago/205-w-wacker-dr-3207-chicago-il-60606--2409644264,2,1
https://www.trulia.com/p/il/chicago/333-n-canal-st-1401-chicago-il-60606--2103801122,3,0
https://www.trulia.com/p/il/chicago/910-s-loomis-st-1r-chicago-il-60607--2431572407,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2421490004,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2431558087,2,1
https://www.trulia.com/p/il/chicago/908-s-loomis-st-1r-chicago-il-60607--1000961174,4,0
https://www.trulia.com/p/il/chicago/500-s-clinton-st-241-chicago-il-60607--2103813763,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2431405443,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2431558067,2,1
https://www.trulia.com/p/il/chicago/1345-w-taylor-st-1r-chicago-il-60607--2424130159,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2431570453,2,1
https://www.trulia.com/p/il/chicago/500-s-clinton-st-625-chicago-il-60607--2103813878,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--1017281,4,0
https://www.trulia.com/c/il/chicago/177-n-ada-street-177-n-ada-st-chicago-il-60607--2207787721,NA,1
https://www.trulia.com/p/il/chicago/1062-w-polk-st-chicago-il-60607--2213763717,3,0
https://www.trulia.com/p/il/chicago/738-s-may-st-chicago-il-60607--2103816323,3,0
https://www.trulia.com/p/il/chicago/500-s-clinton-st-510-chicago-il-60607--1009035511,5,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2431525947,3,0
https://www.trulia.com/p/il/chicago/706-w-liberty-st-511-chicago-il-60607--2431553767,2,1
