CBSA,ZIP,num_listings
"Atlanta-Sandy Springs-Roswell, GA",30334,0
"Atlanta-Sandy Springs-Roswell, GA",30312,99
"Atlanta-Sandy Springs-Roswell, GA",30303,14
"Atlanta-Sandy Springs-Roswell, GA",30313,8
"Atlanta-Sandy Springs-Roswell, GA",30315,79
"Atlanta-Sandy Springs-Roswell, GA",30310,85
"Atlanta-Sandy Springs-Roswell, GA",30314,60
"Atlanta-Sandy Springs-Roswell, GA",30308,126
"Atlanta-Sandy Springs-Roswell, GA",30318,166
"Atlanta-Sandy Springs-Roswell, GA",30307,68
"Atlanta-Sandy Springs-Roswell, GA",30316,107
"Atlanta-Sandy Springs-Roswell, GA",30309,182
"Atlanta-Sandy Springs-Roswell, GA",30332,0
"Atlanta-Sandy Springs-Roswell, GA",30306,133
"Atlanta-Sandy Springs-Roswell, GA",30317,46
"Atlanta-Sandy Springs-Roswell, GA",30363,31
"Atlanta-Sandy Springs-Roswell, GA",30324,105
"Atlanta-Sandy Springs-Roswell, GA",30311,46
"Atlanta-Sandy Springs-Roswell, GA",30288,14
"Atlanta-Sandy Springs-Roswell, GA",30344,79
"Atlanta-Sandy Springs-Roswell, GA",30354,73
"Atlanta-Sandy Springs-Roswell, GA",30030,77
"Atlanta-Sandy Springs-Roswell, GA",30032,197
"Atlanta-Sandy Springs-Roswell, GA",30305,107
"Atlanta-Sandy Springs-Roswell, GA",30034,93
"Atlanta-Sandy Springs-Roswell, GA",30327,34
"Atlanta-Sandy Springs-Roswell, GA",30322,0
"Atlanta-Sandy Springs-Roswell, GA",30033,59
"Atlanta-Sandy Springs-Roswell, GA",30329,47
"Atlanta-Sandy Springs-Roswell, GA",30297,30
"Atlanta-Sandy Springs-Roswell, GA",30126,77
"Atlanta-Sandy Springs-Roswell, GA",30331,124
"Atlanta-Sandy Springs-Roswell, GA",30294,73
"Atlanta-Sandy Springs-Roswell, GA",30337,35
"Atlanta-Sandy Springs-Roswell, GA",30326,69
"Atlanta-Sandy Springs-Roswell, GA",30339,46
"Atlanta-Sandy Springs-Roswell, GA",30319,107
"Atlanta-Sandy Springs-Roswell, GA",30002,11
"Atlanta-Sandy Springs-Roswell, GA",30342,71
"Atlanta-Sandy Springs-Roswell, GA",30336,2
"Atlanta-Sandy Springs-Roswell, GA",30079,11
"Atlanta-Sandy Springs-Roswell, GA",30345,29
"Atlanta-Sandy Springs-Roswell, GA",30080,102
"Atlanta-Sandy Springs-Roswell, GA",30082,40
"Atlanta-Sandy Springs-Roswell, GA",30349,182
"Atlanta-Sandy Springs-Roswell, GA",30168,29
"Atlanta-Sandy Springs-Roswell, GA",30021,9
"Atlanta-Sandy Springs-Roswell, GA",30083,67
"Atlanta-Sandy Springs-Roswell, GA",30273,33
"Atlanta-Sandy Springs-Roswell, GA",30260,37
"Atlanta-Sandy Springs-Roswell, GA",30274,59
"Atlanta-Sandy Springs-Roswell, GA",30236,53
"Atlanta-Sandy Springs-Roswell, GA",30035,67
"Atlanta-Sandy Springs-Roswell, GA",30084,32
"Atlanta-Sandy Springs-Roswell, GA",30341,41
"Atlanta-Sandy Springs-Roswell, GA",30135,144
"Atlanta-Sandy Springs-Roswell, GA",30122,34
"Atlanta-Sandy Springs-Roswell, GA",30328,75
"Atlanta-Sandy Springs-Roswell, GA",30072,4
"Atlanta-Sandy Springs-Roswell, GA",30088,58
"Atlanta-Sandy Springs-Roswell, GA",30296,50
"Atlanta-Sandy Springs-Roswell, GA",30038,116
"Atlanta-Sandy Springs-Roswell, GA",30067,69
"Atlanta-Sandy Springs-Roswell, GA",30346,13
"Atlanta-Sandy Springs-Roswell, GA",30291,43
"Atlanta-Sandy Springs-Roswell, GA",30340,21
"Atlanta-Sandy Springs-Roswell, GA",30338,47
"Atlanta-Sandy Springs-Roswell, GA",30281,115
"Atlanta-Sandy Springs-Roswell, GA",30058,152
"Atlanta-Sandy Springs-Roswell, GA",30360,11
"Atlanta-Sandy Springs-Roswell, GA",30060,46
"Atlanta-Sandy Springs-Roswell, GA",30213,68
"Atlanta-Sandy Springs-Roswell, GA",30087,55
"Atlanta-Sandy Springs-Roswell, GA",30106,31
"Atlanta-Sandy Springs-Roswell, GA",30093,39
"Atlanta-Sandy Springs-Roswell, GA",30214,36
"Atlanta-Sandy Springs-Roswell, GA",30068,51
"Atlanta-Sandy Springs-Roswell, GA",30268,30
"Atlanta-Sandy Springs-Roswell, GA",30238,116
"Atlanta-Sandy Springs-Roswell, GA",30008,55
"Atlanta-Sandy Springs-Roswell, GA",30350,61
"Atlanta-Sandy Springs-Roswell, GA",30071,21
"Atlanta-Sandy Springs-Roswell, GA",30094,45
"Atlanta-Sandy Springs-Roswell, GA",30092,39
"Atlanta-Sandy Springs-Roswell, GA",30047,70
"Atlanta-Sandy Springs-Roswell, GA",30062,98
"Atlanta-Sandy Springs-Roswell, GA",30127,87
"Atlanta-Sandy Springs-Roswell, GA",30290,12
"Atlanta-Sandy Springs-Roswell, GA",30012,34
"Atlanta-Sandy Springs-Roswell, GA",30064,46
"Atlanta-Sandy Springs-Roswell, GA",30134,128
"Atlanta-Sandy Springs-Roswell, GA",30022,109
"Atlanta-Sandy Springs-Roswell, GA",30076,52
"Atlanta-Sandy Springs-Roswell, GA",30039,82
"Atlanta-Sandy Springs-Roswell, GA",30253,155
"Atlanta-Sandy Springs-Roswell, GA",30075,44
"Atlanta-Sandy Springs-Roswell, GA",30228,126
"Atlanta-Sandy Springs-Roswell, GA",30066,78
"Atlanta-Sandy Springs-Roswell, GA",30096,88
"Atlanta-Sandy Springs-Roswell, GA",30252,67
"Atlanta-Sandy Springs-Roswell, GA",30152,51
"Atlanta-Sandy Springs-Roswell, GA",30250,0
"Atlanta-Sandy Springs-Roswell, GA",30215,38
"Atlanta-Sandy Springs-Roswell, GA",30044,133
"Atlanta-Sandy Springs-Roswell, GA",30185,0
"Atlanta-Sandy Springs-Roswell, GA",30144,116
"Atlanta-Sandy Springs-Roswell, GA",30097,65
"Atlanta-Sandy Springs-Roswell, GA",30141,55
"Atlanta-Sandy Springs-Roswell, GA",30277,18
"Atlanta-Sandy Springs-Roswell, GA",30009,54
"Atlanta-Sandy Springs-Roswell, GA",30078,78
"Atlanta-Sandy Springs-Roswell, GA",30013,34
"Atlanta-Sandy Springs-Roswell, GA",30223,42
"Atlanta-Sandy Springs-Roswell, GA",30187,9
"Atlanta-Sandy Springs-Roswell, GA",30043,116
"Atlanta-Sandy Springs-Roswell, GA",30052,115
"Atlanta-Sandy Springs-Roswell, GA",30157,118
"Atlanta-Sandy Springs-Roswell, GA",30265,57
"Atlanta-Sandy Springs-Roswell, GA",30132,86
"Atlanta-Sandy Springs-Roswell, GA",30004,100
"Atlanta-Sandy Springs-Roswell, GA",30016,111
"Atlanta-Sandy Springs-Roswell, GA",30005,50
"Atlanta-Sandy Springs-Roswell, GA",30188,82
"Atlanta-Sandy Springs-Roswell, GA",30269,46
"Atlanta-Sandy Springs-Roswell, GA",30045,90
"Atlanta-Sandy Springs-Roswell, GA",30101,84
"Atlanta-Sandy Springs-Roswell, GA",30017,32
"Atlanta-Sandy Springs-Roswell, GA",30248,70
"Atlanta-Sandy Springs-Roswell, GA",30014,64
"Atlanta-Sandy Springs-Roswell, GA",30054,3
"Atlanta-Sandy Springs-Roswell, GA",30263,63
"Atlanta-Sandy Springs-Roswell, GA",30046,76
"Atlanta-Sandy Springs-Roswell, GA",30180,94
"Atlanta-Sandy Springs-Roswell, GA",30024,100
"Atlanta-Sandy Springs-Roswell, GA",30102,56
"Atlanta-Sandy Springs-Roswell, GA",30189,49
"Atlanta-Sandy Springs-Roswell, GA",30041,81
"Atlanta-Sandy Springs-Roswell, GA",30116,16
"Atlanta-Sandy Springs-Roswell, GA",30205,1
"Atlanta-Sandy Springs-Roswell, GA",30276,9
"Atlanta-Sandy Springs-Roswell, GA",30115,42
"Atlanta-Sandy Springs-Roswell, GA",30114,89
"Atlanta-Sandy Springs-Roswell, GA",30179,27
"Atlanta-Sandy Springs-Roswell, GA",30040,101
"Atlanta-Sandy Springs-Roswell, GA",30519,98
"Atlanta-Sandy Springs-Roswell, GA",30518,84
"Atlanta-Sandy Springs-Roswell, GA",30019,65
