CBSA,ZIP,num_listings
CBSA,ZIP,num_listings
"Atlanta-Sandy Springs-Roswell, GA",30334,0
"Atlanta-Sandy Springs-Roswell, GA",30312,105
"Atlanta-Sandy Springs-Roswell, GA",30303,14
"Atlanta-Sandy Springs-Roswell, GA",30313,8
"Atlanta-Sandy Springs-Roswell, GA",30315,78
"Atlanta-Sandy Springs-Roswell, GA",30310,87
"Atlanta-Sandy Springs-Roswell, GA",30314,62
"Atlanta-Sandy Springs-Roswell, GA",30308,139
"Atlanta-Sandy Springs-Roswell, GA",30318,172
"Atlanta-Sandy Springs-Roswell, GA",30307,73
"Atlanta-Sandy Springs-Roswell, GA",30316,108
"Atlanta-Sandy Springs-Roswell, GA",30309,190
"Atlanta-Sandy Springs-Roswell, GA",30332,0
"Atlanta-Sandy Springs-Roswell, GA",30306,134
"Atlanta-Sandy Springs-Roswell, GA",30317,46
"Atlanta-Sandy Springs-Roswell, GA",30363,31
"Atlanta-Sandy Springs-Roswell, GA",30324,105
"Atlanta-Sandy Springs-Roswell, GA",30311,48
"Atlanta-Sandy Springs-Roswell, GA",30288,13
"Atlanta-Sandy Springs-Roswell, GA",30344,75
"Atlanta-Sandy Springs-Roswell, GA",30354,77
"Atlanta-Sandy Springs-Roswell, GA",30030,80
"Atlanta-Sandy Springs-Roswell, GA",30032,195
"Atlanta-Sandy Springs-Roswell, GA",30305,110
"Atlanta-Sandy Springs-Roswell, GA",30034,92
"Atlanta-Sandy Springs-Roswell, GA",30327,33
"Atlanta-Sandy Springs-Roswell, GA",30322,0
"Atlanta-Sandy Springs-Roswell, GA",30033,58
"Atlanta-Sandy Springs-Roswell, GA",30329,49
"Atlanta-Sandy Springs-Roswell, GA",30297,27
"Atlanta-Sandy Springs-Roswell, GA",30126,77
"Atlanta-Sandy Springs-Roswell, GA",30331,128
"Atlanta-Sandy Springs-Roswell, GA",30294,71
"Atlanta-Sandy Springs-Roswell, GA",30337,36
"Atlanta-Sandy Springs-Roswell, GA",30326,73
"Atlanta-Sandy Springs-Roswell, GA",30339,47
